Model,Prediction Count - Class 1,Prediction Count - Class 0,Class 0 - precision,Class 0 - recall,Class 0 - f1-score,Class 0 - support,Class 1 - precision,Class 1 - recall,Class 1 - f1-score,Class 1 - support,accuracy,macro avg - precision,macro avg - recall,macro avg - f1-score,macro avg - support,weighted avg - precision,weighted avg - recall,weighted avg - f1-score,weighted avg - support
distilbert-base-uncased-10-epochs,565,135,0.6592592592592592,0.4158878504672897,0.5100286532951288,214.0,0.7787610619469026,0.9053497942386832,0.8372978116079924,486.0,0.7557142857142857,0.719010160603081,0.6606188223529864,0.6736632324515606,700.0,0.7422276536966802,0.7557142857142857,0.7372469546380598,700.0
distilbert-base-uncased-5-epochs,534,166,0.5903614457831325,0.4579439252336448,0.5157894736842106,214.0,0.7827715355805244,0.8600823045267489,0.819607843137255,486.0,0.7371428571428571,0.6865664906818285,0.6590131148801969,0.6676986584107327,700.0,0.7239490224138931,0.7371428571428571,0.7267262273330385,700.0
distilroberta-base-10-epochs,575,125,0.64,0.3738317757009345,0.471976401179941,214.0,0.7669565217391304,0.9074074074074074,0.8312912346842601,486.0,0.7442857142857143,0.7034782608695652,0.640619591554171,0.6516338179321006,700.0,0.728144099378882,0.7442857142857143,0.7214435570129397,700.0
distilroberta-base-5-epochs,467,233,0.5493562231759657,0.5981308411214953,0.5727069351230424,214.0,0.815845824411135,0.7839506172839507,0.7995802728226653,486.0,0.7271428571428571,0.6826010237935503,0.691040729202723,0.6861436039728539,700.0,0.7343761463192404,0.7271428571428571,0.7302218524402092,700.0
distilroberta_financial-10-epochs,598,102,0.7058823529411765,0.3364485981308411,0.4556962025316456,214.0,0.7625418060200669,0.9382716049382716,0.8413284132841328,486.0,0.7542857142857143,0.7342120794806217,0.6373601015345564,0.6485123079078892,700.0,0.7452202017930919,0.7542857142857143,0.7234351374255154,700.0
distilroberta_financial-5-epochs,558,142,0.6267605633802817,0.4158878504672897,0.5,214.0,0.7759856630824373,0.8909465020576132,0.8295019157088123,486.0,0.7457142857142857,0.7013731132313595,0.6534171762624514,0.6647509578544062,700.0,0.7303654183163497,0.7457142857142857,0.7287684729064039,700.0
Finbert-10-epochs,630,70,0.7571428571428571,0.2476635514018691,0.3732394366197183,214.0,0.7444444444444445,0.9650205761316872,0.8405017921146953,486.0,0.7457142857142857,0.7507936507936508,0.6063420637667782,0.6068706143672068,700.0,0.7483265306122449,0.7457142857142857,0.6976530148633738,700.0
Finbert-5-epochs,553,147,0.6258503401360545,0.4299065420560747,0.5096952908587257,214.0,0.779385171790235,0.8868312757201646,0.8296438883541866,486.0,0.7471428571428571,0.7026177559631448,0.6583689088881197,0.6696695896064562,700.0,0.7324473803988141,0.7471428571428571,0.7318310314055743,700.0
Finbert_sentiment-10-epochs,523,177,0.5819209039548022,0.4813084112149532,0.5268542199488492,214.0,0.7877629063097514,0.8477366255144033,0.8166501486620417,486.0,0.7357142857142858,0.6848419051322768,0.6645225183646783,0.6717521843054455,700.0,0.7248340655898099,0.7357142857142858,0.72805539331258,700.0
Finbert_Sentiment-5-epochs,585,115,0.591304347826087,0.3177570093457944,0.4133738601823708,214.0,0.7504273504273504,0.9032921810699588,0.8197945845004668,486.0,0.7242857142857143,0.6708658491267188,0.6105245952078766,0.6165842223414189,700.0,0.7017811753463927,0.7242857142857143,0.6955459630660774,700.0
